,municipio,codigo_municipio,estado,ano,campo,despesas_executadas_liquidadas,população,Produto_interno_bruto
0,Abaiara,2300101,Ceará,2013,DESPESAS CORRENTES,3383440.0,11089,50467.726
1,Abaiara,2300101,Ceará,2013,Pessoal e Encargos Sociais,1343820.0,11089,50467.726
2,Abaiara,2300101,Ceará,2013,Juros e Encargos da Dívida,0.0,11089,50467.726
3,Abaiara,2300101,Ceará,2013,Outras Despesas Correntes,2039620.0,11089,50467.726
4,Abaiara,2300101,Ceará,2013,DESPESAS DE CAPITAL,426695.0,11089,50467.726
5,Abaiara,2300101,Ceará,2013,Investimentos,426695.0,11089,50467.726
6,Abaiara,2300101,Ceará,2013,Inversões Financeiras,0.0,11089,50467.726
7,Abaiara,2300101,Ceará,2013,Amortização da Dívida,0.0,11089,50467.726
8,Abaiara,2300101,Ceará,2013,TOTAL DAS DESPESAS COM SAÚDE (IV),4155720.0,11089,50467.726
9,Acarape,2300150,Ceará,2013,DESPESAS CORRENTES,5716320.0,16011,102164.287
10,Acarape,2300150,Ceará,2013,Pessoal e Encargos Sociais,3537360.0,16011,102164.287
11,Acarape,2300150,Ceará,2013,Juros e Encargos da Dívida,0.0,16011,102164.287
12,Acarape,2300150,Ceará,2013,Outras Despesas Correntes,2178960.0,16011,102164.287
13,Acarape,2300150,Ceará,2013,DESPESAS DE CAPITAL,278025.0,16011,102164.287
14,Acarape,2300150,Ceará,2013,Investimentos,273050.0,16011,102164.287
15,Acarape,2300150,Ceará,2013,Inversões Financeiras,4975.0,16011,102164.287
16,Acarape,2300150,Ceará,2013,Amortização da Dívida,0.0,16011,102164.287
17,Acarape,2300150,Ceará,2013,TOTAL DAS DESPESAS COM SAÚDE (IV),6555600.0,16011,102164.287
18,Acaraú,2300200,Ceará,2013,DESPESAS CORRENTES,20616900.0,60137,467824.0
19,Acaraú,2300200,Ceará,2013,Pessoal e Encargos Sociais,9923710.0,60137,467824.0
20,Acaraú,2300200,Ceará,2013,Juros e Encargos da Dívida,0.0,60137,467824.0
21,Acaraú,2300200,Ceará,2013,Outras Despesas Correntes,10693200.0,60137,467824.0
22,Acaraú,2300200,Ceará,2013,DESPESAS DE CAPITAL,431901.0,60137,467824.0
23,Acaraú,2300200,Ceará,2013,Investimentos,431901.0,60137,467824.0
24,Acaraú,2300200,Ceará,2013,Inversões Financeiras,0.0,60137,467824.0
25,Acaraú,2300200,Ceará,2013,Amortização da Dívida,0.0,60137,467824.0
26,Acaraú,2300200,Ceará,2013,TOTAL DAS DESPESAS COM SAÚDE (IV),21519900.0,60137,467824.0
27,Acopiara,2300309,Ceará,2013,DESPESAS CORRENTES,15272400.0,52661,287936.777
28,Acopiara,2300309,Ceará,2013,Pessoal e Encargos Sociais,9500120.0,52661,287936.777
29,Acopiara,2300309,Ceará,2013,Juros e Encargos da Dívida,0.0,52661,287936.777
30,Acopiara,2300309,Ceará,2013,Outras Despesas Correntes,5772240.0,52661,287936.777
31,Acopiara,2300309,Ceará,2013,DESPESAS DE CAPITAL,693155.0,52661,287936.777
32,Acopiara,2300309,Ceará,2013,Investimentos,693155.0,52661,287936.777
