,municipio,codigo_municipio,estado,ano,campo,despesas_executadas_liquidadas,população,Produto_interno_bruto
0,Abaiara,2300101,Ceará,2013,TOTAL DAS DESPESAS COM SAÚDE NÃO COMPUTADAS (V),1934830,11089,50467.726
1,Abaiara,2300101,Ceará,2013,DESPESAS COM INATIVOS E PENSIONISTAS,0,11089,50467.726
2,Abaiara,2300101,Ceará,2013,DESPESA COM ASSISTÊNCIA À SAÚDE QUE NÃO ATENDE AO PRINCÍPIO DE ACESSO UNIVERSAL,0,11089,50467.726
3,Abaiara,2300101,Ceará,2013,DESPESAS CUSTEADAS COM OUTROS RECURSOS,1589250,11089,50467.726
4,Abaiara,2300101,Ceará,2013,Recursos de Transferências do Sistema Único de Saúde - SUS,1589250,11089,50467.726
5,Abaiara,2300101,Ceará,2013,Recursos de Operações de Crédito,0,11089,50467.726
6,Abaiara,2300101,Ceará,2013,Outros Recursos,0,11089,50467.726
7,Abaiara,2300101,Ceará,2013,OUTRAS AÇÕES E SERVIÇOS NÃO COMPUTADOS,0,11089,50467.726
8,Abaiara,2300101,Ceará,2013,RESTOS A PAGAR NÃO PROCESSADOS INSCRITOS INDEVIDAMENTE NO EXERCÍCIO SEM DISPONIBILIDADE FINANCEIRA¹,0,11089,50467.726
9,Abaiara,2300101,Ceará,2013,DESPESAS CUSTEADAS COM DISPONIBILIDADE DE CAIXA VINCULADA AOS RESTOS A PAGAR CANCELADOS²,0,11089,50467.726
10,Abaiara,2300101,Ceará,2013,DESPESAS CUSTEADAS COM RECURSOS VINCULADOS À PARCELA DO PERCENTUAL MÍNIMO QUE NÃO FOI APLICADA EM AÇÕES E SERVIÇOS DE SAÚDE EM EXERCÍCIOS ANTERIORES³,0,11089,50467.726
11,Abaiara,2300101,Ceará,2013,TOTAL DAS DESPESAS COM SAÚDE NÃO COMPUTADAS (V),1934830,11089,50467.726
12,Acarape,2300150,Ceará,2013,DESPESAS COM INATIVOS E PENSIONISTAS,0,16011,102164.287
13,Acarape,2300150,Ceará,2013,DESPESA COM ASSISTÊNCIA À SAÚDE QUE NÃO ATENDE AO PRINCÍPIO DE ACESSO UNIVERSAL,0,16011,102164.287
14,Acarape,2300150,Ceará,2013,DESPESAS CUSTEADAS COM OUTROS RECURSOS,2265590,16011,102164.287
15,Acarape,2300150,Ceará,2013,Recursos de Transferências do Sistema Único de Saúde - SUS,2265590,16011,102164.287
16,Acarape,2300150,Ceará,2013,Recursos de Operações de Crédito,0,16011,102164.287
17,Acarape,2300150,Ceará,2013,Outros Recursos,0,16011,102164.287
18,Acarape,2300150,Ceará,2013,OUTRAS AÇÕES E SERVIÇOS NÃO COMPUTADOS,0,16011,102164.287
19,Acarape,2300150,Ceará,2013,RESTOS A PAGAR NÃO PROCESSADOS INSCRITOS INDEVIDAMENTE NO EXERCÍCIO SEM DISPONIBILIDADE FINANCEIRA¹,0,16011,102164.287
20,Acarape,2300150,Ceará,2013,DESPESAS CUSTEADAS COM DISPONIBILIDADE DE CAIXA VINCULADA AOS RESTOS A PAGAR CANCELADOS²,0,16011,102164.287
21,Acarape,2300150,Ceará,2013,DESPESAS COM INATIVOS E PENSIONISTAS,0,16011,102164.287
22,Acarape,2300150,Ceará,2013,DESPESA COM ASSISTÊNCIA À SAÚDE QUE NÃO ATENDE AO PRINCÍPIO DE ACESSO UNIVERSAL,0,16011,102164.287
23,Acarape,2300150,Ceará,2013,DESPESAS CUSTEADAS COM OUTROS RECURSOS,2265590,16011,102164.287
24,Acarape,2300150,Ceará,2013,Recursos de Transferências do Sistema Único de Saúde - SUS,2265590,16011,102164.287
25,Acarape,2300150,Ceará,2013,Recursos de Operações de Crédito,0,16011,102164.287
26,Acarape,2300150,Ceará,2013,Outros Recursos,0,16011,102164.287
27,Acarape,2300150,Ceará,2013,OUTRAS AÇÕES E SERVIÇOS NÃO COMPUTADOS,0,16011,102164.287
28,Acarape,2300150,Ceará,2013,RESTOS A PAGAR NÃO PROCESSADOS INSCRITOS INDEVIDAMENTE NO EXERCÍCIO SEM DISPONIBILIDADE FINANCEIRA¹,0,16011,102164.287
29,Acarape,2300150,Ceará,2013,DESPESAS CUSTEADAS COM DISPONIBILIDADE DE CAIXA VINCULADA AOS RESTOS A PAGAR CANCELADOS²,0,16011,102164.287
30,Acarape,2300150,Ceará,2013,DESPESAS CUSTEADAS COM RECURSOS VINCULADOS À PARCELA DO PERCENTUAL MÍNIMO QUE NÃO FOI APLICADA EM AÇÕES E SERVIÇOS DE SAÚDE EM EXERCÍCIOS ANTERIORES³,0,16011,102164.287
31,Acarape,2300150,Ceará,2013,TOTAL DAS DESPESAS COM SAÚDE NÃO COMPUTADAS (V),2747840,16011,102164.287
32,Acaraú,2300200,Ceará,2013,DESPESAS COM INATIVOS E PENSIONISTAS,0,60137,467824.0
33,Acaraú,2300200,Ceará,2013,DESPESA COM ASSISTÊNCIA À SAÚDE QUE NÃO ATENDE AO PRINCÍPIO DE ACESSO UNIVERSAL,0,60137,467824.0
34,Acaraú,2300200,Ceará,2013,DESPESAS CUSTEADAS COM OUTROS RECURSOS,12148800,60137,467824.0
35,Acaraú,2300200,Ceará,2013,Recursos de Transferências do Sistema Único de Saúde - SUS,12148800,60137,467824.0
36,Acaraú,2300200,Ceará,2013,Recursos de Operações de Crédito,0,60137,467824.0
37,Acaraú,2300200,Ceará,2013,Outros Recursos,0,60137,467824.0
38,Acaraú,2300200,Ceará,2013,OUTRAS AÇÕES E SERVIÇOS NÃO COMPUTADOS,0,60137,467824.0
