,municipio,codigo_municipio,estado,ano,campo,despesas_executadas_liquidadas,população,Produto_interno_bruto
0,Abaiara,2300101,Ceará,2013,Atenção Básica,2981540,11089,50467.726
1,Abaiara,2300101,Ceará,2013,Assistência Hospitalar e Ambulatorial,804829,11089,50467.726
2,Abaiara,2300101,Ceará,2013,Suporte Profilático e Terapêutico,0,11089,50467.726
3,Abaiara,2300101,Ceará,2013,Vigilância Sanitária,23765,11089,50467.726
4,Abaiara,2300101,Ceará,2013,Vigilância Epidemiológica,0,11089,50467.726
5,Abaiara,2300101,Ceará,2013,Alimentação e Nutrição,0,11089,50467.726
6,Abaiara,2300101,Ceará,2013,Outras Subfunções,0,11089,50467.726
7,Abaiara,2300101,Ceará,2013,TOTAL,4155720,11089,50467.726
8,Acarape,2300150,Ceará,2013,Atenção Básica,2105140,16011,102164.287
9,Acarape,2300150,Ceará,2013,Assistência Hospitalar e Ambulatorial,375519,16011,102164.287
10,Acarape,2300150,Ceará,2013,Suporte Profilático e Terapêutico,162249,16011,102164.287
11,Acarape,2300150,Ceará,2013,Vigilância Sanitária,0,16011,102164.287
12,Acarape,2300150,Ceará,2013,Vigilância Epidemiológica,0,16011,102164.287
13,Acarape,2300150,Ceará,2013,Alimentação e Nutrição,0,16011,102164.287
14,Acarape,2300150,Ceará,2013,Outras Subfunções,3351440,16011,102164.287
15,Acarape,2300150,Ceará,2013,TOTAL,6555600,16011,102164.287
16,Acaraú,2300200,Ceará,2013,Atenção Básica,8937060,60137,467824.0
17,Acaraú,2300200,Ceará,2013,Assistência Hospitalar e Ambulatorial,6959270,60137,467824.0
18,Acaraú,2300200,Ceará,2013,Suporte Profilático e Terapêutico,1996,60137,467824.0
19,Acaraú,2300200,Ceará,2013,Vigilância Sanitária,56268,60137,467824.0
20,Acaraú,2300200,Ceará,2013,Vigilância Epidemiológica,592761,60137,467824.0
21,Acaraú,2300200,Ceará,2013,Alimentação e Nutrição,0,60137,467824.0
22,Acaraú,2300200,Ceará,2013,Outras Subfunções,4501420,60137,467824.0
23,Acaraú,2300200,Ceará,2013,TOTAL,21519900,60137,467824.0
24,Acopiara,2300309,Ceará,2013,Atenção Básica,4915620,52661,287936.777
25,Acopiara,2300309,Ceará,2013,Assistência Hospitalar e Ambulatorial,6510230,52661,287936.777
26,Acopiara,2300309,Ceará,2013,Suporte Profilático e Terapêutico,265857,52661,287936.777
27,Acopiara,2300309,Ceará,2013,Vigilância Sanitária,95071,52661,287936.777
28,Acopiara,2300309,Ceará,2013,Vigilância Epidemiológica,520124,52661,287936.777
29,Acopiara,2300309,Ceará,2013,Alimentação e Nutrição,0,52661,287936.777
30,Acopiara,2300309,Ceará,2013,Outras Subfunções,3658620,52661,287936.777
31,Acopiara,2300309,Ceará,2013,TOTAL,16025100,52661,287936.777
32,Aiuaba,2300408,Ceará,2013,Atenção Básica,1909660,16784,78557.345
33,Aiuaba,2300408,Ceará,2013,Assistência Hospitalar e Ambulatorial,396692,16784,78557.345
34,Aiuaba,2300408,Ceará,2013,Suporte Profilático e Terapêutico,0,16784,78557.345
35,Aiuaba,2300408,Ceará,2013,Vigilância Sanitária,0,16784,78557.345
36,Aiuaba,2300408,Ceará,2013,Vigilância Epidemiológica,106167,16784,78557.345
37,Aiuaba,2300408,Ceará,2013,Alimentação e Nutrição,0,16784,78557.345
38,Aiuaba,2300408,Ceará,2013,Outras Subfunções,3272920,16784,78557.345
39,Aiuaba,2300408,Ceará,2013,TOTAL,5685440,16784,78557.345
40,Alcântaras,2300507,Ceará,2013,Atenção Básica,1654480,11171,47741.892
41,Alcântaras,2300507,Ceará,2013,Assistência Hospitalar e Ambulatorial,105763,11171,47741.892
42,Alcântaras,2300507,Ceará,2013,Suporte Profilático e Terapêutico,0,11171,47741.892
43,Alcântaras,2300507,Ceará,2013,Vigilância Sanitária,0,11171,47741.892
44,Alcântaras,2300507,Ceará,2013,Vigilância Epidemiológica,0,11171,47741.892
45,Alcântaras,2300507,Ceará,2013,Alimentação e Nutrição,0,11171,47741.892
46,Alcântaras,2300507,Ceará,2013,Outras Subfunções,2367500,11171,47741.892
47,Alcântaras,2300507,Ceará,2013,TOTAL,4730310,11171,47741.892
48,Altaneira,2300606,Ceará,2013,Atenção Básica,1110230,7196,37584.825
49,Altaneira,2300606,Ceará,2013,Assistência Hospitalar e Ambulatorial,1437850,7196,37584.825
50,Altaneira,2300606,Ceará,2013,Suporte Profilático e Terapêutico,0,7196,37584.825
51,Altaneira,2300606,Ceará,2013,Vigilância Sanitária,0,7196,37584.825
52,Altaneira,2300606,Ceará,2013,Vigilância Epidemiológica,260645,7196,37584.825
53,Altaneira,2300606,Ceará,2013,Alimentação e Nutrição,0,7196,37584.825
54,Altaneira,2300606,Ceará,2013,Outras Subfunções,980513,7196,37584.825
55,Altaneira,2300606,Ceará,2013,TOTAL,3789240,7196,37584.825
56,Alto Santo,2300705,Ceará,2013,Atenção Básica,2190940,16767,105060.172
57,Alto Santo,2300705,Ceará,2013,Assistência Hospitalar e Ambulatorial,2113270,16767,105060.172
58,Alto Santo,2300705,Ceará,2013,Suporte Profilático e Terapêutico,0,16767,105060.172
59,Alto Santo,2300705,Ceará,2013,Vigilância Sanitária,54234,16767,105060.172
60,Alto Santo,2300705,Ceará,2013,Vigilância Epidemiológica,0,16767,105060.172
61,Alto Santo,2300705,Ceará,2013,Alimentação e Nutrição,0,16767,105060.172
62,Alto Santo,2300705,Ceará,2013,Outras Subfunções,342496,16767,105060.172
63,Alto Santo,2300705,Ceará,2013,TOTAL,4739750,16767,105060.172
64,Amontada,2300754,Ceará,2013,Atenção Básica,3622450,41227,285778.53
65,Amontada,2300754,Ceará,2013,Assistência Hospitalar e Ambulatorial,3474780,41227,285778.53
66,Amontada,2300754,Ceará,2013,Suporte Profilático e Terapêutico,0,41227,285778.53
67,Amontada,2300754,Ceará,2013,Vigilância Sanitária,219931,41227,285778.53
68,Amontada,2300754,Ceará,2013,Vigilância Epidemiológica,0,41227,285778.53
69,Amontada,2300754,Ceará,2013,Alimentação e Nutrição,0,41227,285778.53
70,Amontada,2300754,Ceará,2013,Outras Subfunções,4269420,41227,285778.53
71,Amontada,2300754,Ceará,2013,TOTAL,11705300,41227,285778.53
72,Antonina do Norte,2300804,Ceará,2013,Atenção Básica,814664,7172,41967.895
73,Antonina do Norte,2300804,Ceará,2013,Assistência Hospitalar e Ambulatorial,108712,7172,41967.895
74,Antonina do Norte,2300804,Ceará,2013,Suporte Profilático e Terapêutico,5156,7172,41967.895
75,Antonina do Norte,2300804,Ceará,2013,Vigilância Sanitária,0,7172,41967.895
76,Antonina do Norte,2300804,Ceará,2013,Vigilância Epidemiológica,9009,7172,41967.895
77,Antonina do Norte,2300804,Ceará,2013,Alimentação e Nutrição,0,7172,41967.895
78,Antonina do Norte,2300804,Ceará,2013,Outras Subfunções,2050220,7172,41967.895
79,Antonina do Norte,2300804,Ceará,2013,TOTAL,3012190,7172,41967.895
80,Apuiarés,2300903,Ceará,2013,Atenção Básica,1948620,14397,66227.817
81,Apuiarés,2300903,Ceará,2013,Assistência Hospitalar e Ambulatorial,1576260,14397,66227.817
82,Apuiarés,2300903,Ceará,2013,Suporte Profilático e Terapêutico,10,14397,66227.817
83,Apuiarés,2300903,Ceará,2013,Vigilância Sanitária,9723,14397,66227.817
84,Apuiarés,2300903,Ceará,2013,Vigilância Epidemiológica,128186,14397,66227.817
85,Apuiarés,2300903,Ceará,2013,Alimentação e Nutrição,0,14397,66227.817
86,Apuiarés,2300903,Ceará,2013,Outras Subfunções,1816400,14397,66227.817
87,Apuiarés,2300903,Ceará,2013,TOTAL,5508880,14397,66227.817
88,Aquiraz,2301000,Ceará,2013,Atenção Básica,11348900,76186,1548884.6
89,Aquiraz,2301000,Ceará,2013,Assistência Hospitalar e Ambulatorial,8965220,76186,1548884.6
90,Aquiraz,2301000,Ceará,2013,Suporte Profilático e Terapêutico,204255,76186,1548884.6
91,Aquiraz,2301000,Ceará,2013,Vigilância Sanitária,984495,76186,1548884.6
92,Aquiraz,2301000,Ceará,2013,Vigilância Epidemiológica,0,76186,1548884.6
93,Aquiraz,2301000,Ceará,2013,Alimentação e Nutrição,0,76186,1548884.6
94,Aquiraz,2301000,Ceará,2013,Outras Subfunções,7538340,76186,1548884.6
95,Aquiraz,2301000,Ceará,2013,TOTAL,29128100,76186,1548884.6
96,Aracati,2301109,Ceará,2013,Atenção Básica,5793330,71749,990304.873
97,Aracati,2301109,Ceará,2013,Assistência Hospitalar e Ambulatorial,10395500,71749,990304.873
98,Aracati,2301109,Ceará,2013,Suporte Profilático e Terapêutico,1600,71749,990304.873
99,Aracati,2301109,Ceará,2013,Vigilância Sanitária,84285,71749,990304.873
100,Aracati,2301109,Ceará,2013,Vigilância Epidemiológica,1125940,71749,990304.873
101,Aracati,2301109,Ceará,2013,Alimentação e Nutrição,0,71749,990304.873
102,Aracati,2301109,Ceará,2013,Outras Subfunções,9082740,71749,990304.873
103,Aracati,2301109,Ceará,2013,TOTAL,27278800,71749,990304.873
104,Aracoiaba,2301208,Ceará,2013,Atenção Básica,3286010,25988,138520.761
105,Aracoiaba,2301208,Ceará,2013,Assistência Hospitalar e Ambulatorial,8209260,25988,138520.761
106,Aracoiaba,2301208,Ceará,2013,Suporte Profilático e Terapêutico,0,25988,138520.761
107,Aracoiaba,2301208,Ceará,2013,Vigilância Sanitária,370584,25988,138520.761
108,Aracoiaba,2301208,Ceará,2013,Vigilância Epidemiológica,323811,25988,138520.761
109,Aracoiaba,2301208,Ceará,2013,Alimentação e Nutrição,0,25988,138520.761
110,Aracoiaba,2301208,Ceará,2013,Outras Subfunções,585342,25988,138520.761
111,Aracoiaba,2301208,Ceará,2013,TOTAL,12791200,25988,138520.761
112,Ararendá,2301257,Ceará,2013,Atenção Básica,1479860,10723,47807.956
113,Ararendá,2301257,Ceará,2013,Assistência Hospitalar e Ambulatorial,2393560,10723,47807.956
114,Ararendá,2301257,Ceará,2013,Suporte Profilático e Terapêutico,177383,10723,47807.956
115,Ararendá,2301257,Ceará,2013,Vigilância Sanitária,1590,10723,47807.956
116,Ararendá,2301257,Ceará,2013,Vigilância Epidemiológica,152219,10723,47807.956
117,Ararendá,2301257,Ceará,2013,Alimentação e Nutrição,0,10723,47807.956
118,Ararendá,2301257,Ceará,2013,Outras Subfunções,791375,10723,47807.956
119,Ararendá,2301257,Ceará,2013,TOTAL,5938030,10723,47807.956
120,Araripe,2301307,Ceará,2013,Atenção Básica,3156840,21170,121402.738
121,Araripe,2301307,Ceará,2013,Assistência Hospitalar e Ambulatorial,3095100,21170,121402.738
122,Araripe,2301307,Ceará,2013,Suporte Profilático e Terapêutico,51522,21170,121402.738
123,Araripe,2301307,Ceará,2013,Vigilância Sanitária,0,21170,121402.738
124,Araripe,2301307,Ceará,2013,Vigilância Epidemiológica,438174,21170,121402.738
125,Araripe,2301307,Ceará,2013,Alimentação e Nutrição,0,21170,121402.738
126,Araripe,2301307,Ceará,2013,Outras Subfunções,2253390,21170,121402.738
127,Araripe,2301307,Ceará,2013,TOTAL,9052600,21170,121402.738
128,Aratuba,2301406,Ceará,2013,Atenção Básica,2842520,11482,65219.008
129,Aratuba,2301406,Ceará,2013,Assistência Hospitalar e Ambulatorial,1302440,11482,65219.008
130,Aratuba,2301406,Ceará,2013,Suporte Profilático e Terapêutico,24706,11482,65219.008
131,Aratuba,2301406,Ceará,2013,Vigilância Sanitária,8078,11482,65219.008
132,Aratuba,2301406,Ceará,2013,Vigilância Epidemiológica,205994,11482,65219.008
133,Aratuba,2301406,Ceará,2013,Alimentação e Nutrição,0,11482,65219.008
134,Aratuba,2301406,Ceará,2013,Outras Subfunções,1039560,11482,65219.008
135,Aratuba,2301406,Ceará,2013,TOTAL,5584540,11482,65219.008
136,Arneiroz,2301505,Ceará,2013,Atenção Básica,3424030,7766,35319.026
137,Arneiroz,2301505,Ceará,2013,Assistência Hospitalar e Ambulatorial,232420,7766,35319.026
138,Arneiroz,2301505,Ceará,2013,Suporte Profilático e Terapêutico,0,7766,35319.026
139,Arneiroz,2301505,Ceará,2013,Vigilância Sanitária,0,7766,35319.026
140,Arneiroz,2301505,Ceará,2013,Vigilância Epidemiológica,2025,7766,35319.026
141,Arneiroz,2301505,Ceará,2013,Alimentação e Nutrição,0,7766,35319.026
142,Arneiroz,2301505,Ceará,2013,Outras Subfunções,0,7766,35319.026
143,Arneiroz,2301505,Ceará,2013,TOTAL,4282340,7766,35319.026
144,Assaré,2301604,Ceará,2013,Atenção Básica,2749250,22988,141880.888
145,Assaré,2301604,Ceará,2013,Assistência Hospitalar e Ambulatorial,2829090,22988,141880.888
146,Assaré,2301604,Ceará,2013,Suporte Profilático e Terapêutico,45964,22988,141880.888
147,Assaré,2301604,Ceará,2013,Vigilância Sanitária,0,22988,141880.888
148,Assaré,2301604,Ceará,2013,Vigilância Epidemiológica,183200,22988,141880.888
149,Assaré,2301604,Ceará,2013,Alimentação e Nutrição,0,22988,141880.888
150,Assaré,2301604,Ceará,2013,Outras Subfunções,2041810,22988,141880.888
151,Assaré,2301604,Ceará,2013,TOTAL,8059460,22988,141880.888
152,Aurora,2301703,Ceará,2013,Atenção Básica,975426,24716,137709.647
153,Aurora,2301703,Ceará,2013,Assistência Hospitalar e Ambulatorial,1993460,24716,137709.647
154,Aurora,2301703,Ceará,2013,Suporte Profilático e Terapêutico,419374,24716,137709.647
155,Aurora,2301703,Ceará,2013,Vigilância Sanitária,0,24716,137709.647
156,Aurora,2301703,Ceará,2013,Vigilância Epidemiológica,348687,24716,137709.647
157,Aurora,2301703,Ceará,2013,Alimentação e Nutrição,0,24716,137709.647
158,Aurora,2301703,Ceará,2013,Outras Subfunções,5144720,24716,137709.647
159,Aurora,2301703,Ceará,2013,TOTAL,9170200,24716,137709.647
160,Baixio,2301802,Ceará,2013,Atenção Básica,904670,6165,31240.331
161,Baixio,2301802,Ceará,2013,Assistência Hospitalar e Ambulatorial,539319,6165,31240.331
162,Baixio,2301802,Ceará,2013,Suporte Profilático e Terapêutico,0,6165,31240.331
163,Baixio,2301802,Ceará,2013,Vigilância Sanitária,99905,6165,31240.331
