,municipio,codigo_municipio,estado,ano,campo,Receitas_realizadas_Bimestre,população,Produto_interno_bruto
0,Abaiara,2300101,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,2588510.0,11089,50467.726
1,Abaiara,2300101,Ceará,2013,Provenientes da União,2587320.0,11089,50467.726
2,Abaiara,2300101,Ceará,2013,Provenientes dos Estados,0.0,11089,50467.726
3,Abaiara,2300101,Ceará,2013,Provenientes de Outros Municípios,0.0,11089,50467.726
4,Abaiara,2300101,Ceará,2013,Outras Receitas do SUS,1193.0,11089,50467.726
5,Abaiara,2300101,Ceará,2013,TRANSFERÊNCIAS VOLUNTÁRIAS,0.0,11089,50467.726
6,Abaiara,2300101,Ceará,2013,RECEITA DE OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE,0.0,11089,50467.726
7,Abaiara,2300101,Ceará,2013,OUTRAS RECEITAS PARA FINANCIAMENTO DA SAÚDE,0.0,11089,50467.726
8,Abaiara,2300101,Ceará,2013,TOTAL RECEITAS ADICIONAIS PARA FINANCIAMENTO DA SAÚDE,2588510.0,11089,50467.726
9,Acarape,2300150,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,2367420.0,16011,102164.287
10,Acarape,2300150,Ceará,2013,Provenientes da União,2367420.0,16011,102164.287
11,Acarape,2300150,Ceará,2013,Provenientes dos Estados,0.0,16011,102164.287
12,Acarape,2300150,Ceará,2013,Provenientes de Outros Municípios,0.0,16011,102164.287
13,Acarape,2300150,Ceará,2013,Outras Receitas do SUS,0.0,16011,102164.287
14,Acarape,2300150,Ceará,2013,TRANSFERÊNCIAS VOLUNTÁRIAS,0.0,16011,102164.287
15,Acarape,2300150,Ceará,2013,RECEITA DE OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE,0.0,16011,102164.287
16,Acarape,2300150,Ceará,2013,OUTRAS RECEITAS PARA FINANCIAMENTO DA SAÚDE,0.0,16011,102164.287
17,Acarape,2300150,Ceará,2013,TOTAL RECEITAS ADICIONAIS PARA FINANCIAMENTO DA SAÚDE,2367420.0,16011,102164.287
18,Acaraú,2300200,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,10366500.0,60137,467824.0
19,Acaraú,2300200,Ceará,2013,Provenientes da União,10324400.0,60137,467824.0
20,Acaraú,2300200,Ceará,2013,Provenientes dos Estados,0.0,60137,467824.0
21,Acaraú,2300200,Ceará,2013,Provenientes de Outros Municípios,0.0,60137,467824.0
22,Acaraú,2300200,Ceará,2013,Outras Receitas do SUS,42115.0,60137,467824.0
23,Acaraú,2300200,Ceará,2013,TRANSFERÊNCIAS VOLUNTÁRIAS,0.0,60137,467824.0
24,Acaraú,2300200,Ceará,2013,RECEITA DE OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE,0.0,60137,467824.0
25,Acaraú,2300200,Ceará,2013,OUTRAS RECEITAS PARA FINANCIAMENTO DA SAÚDE,0.0,60137,467824.0
26,Acaraú,2300200,Ceará,2013,TOTAL RECEITAS ADICIONAIS PARA FINANCIAMENTO DA SAÚDE,10366500.0,60137,467824.0
27,Acopiara,2300309,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,8865990.0,52661,287936.777
28,Acopiara,2300309,Ceará,2013,Provenientes da União,8661590.0,52661,287936.777
29,Acopiara,2300309,Ceará,2013,Provenientes dos Estados,145500.0,52661,287936.777
30,Acopiara,2300309,Ceará,2013,Provenientes de Outros Municípios,0.0,52661,287936.777
31,Acopiara,2300309,Ceará,2013,Outras Receitas do SUS,58900.0,52661,287936.777
32,Acopiara,2300309,Ceará,2013,TRANSFERÊNCIAS VOLUNTÁRIAS,0.0,52661,287936.777
33,Acopiara,2300309,Ceará,2013,RECEITA DE OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE,0.0,52661,287936.777
34,Acopiara,2300309,Ceará,2013,OUTRAS RECEITAS PARA FINANCIAMENTO DA SAÚDE,0.0,52661,287936.777
35,Acopiara,2300309,Ceará,2013,TOTAL RECEITAS ADICIONAIS PARA FINANCIAMENTO DA SAÚDE,8865990.0,52661,287936.777
36,Aiuaba,2300408,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,2859110.0,16784,78557.345
37,Aiuaba,2300408,Ceará,2013,Provenientes da União,2859110.0,16784,78557.345
38,Aiuaba,2300408,Ceará,2013,Provenientes dos Estados,0.0,16784,78557.345
39,Aiuaba,2300408,Ceará,2013,Provenientes de Outros Municípios,0.0,16784,78557.345
40,Aiuaba,2300408,Ceará,2013,Outras Receitas do SUS,0.0,16784,78557.345
41,Aiuaba,2300408,Ceará,2013,TRANSFERÊNCIAS VOLUNTÁRIAS,0.0,16784,78557.345
42,Aiuaba,2300408,Ceará,2013,RECEITA DE OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE,0.0,16784,78557.345
43,Aiuaba,2300408,Ceará,2013,OUTRAS RECEITAS PARA FINANCIAMENTO DA SAÚDE,0.0,16784,78557.345
44,Aiuaba,2300408,Ceará,2013,TOTAL RECEITAS ADICIONAIS PARA FINANCIAMENTO DA SAÚDE,2859110.0,16784,78557.345
45,Alcântaras,2300507,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,4694750.0,11171,47741.892
46,Alcântaras,2300507,Ceará,2013,Provenientes da União,1935860.0,11171,47741.892
47,Alcântaras,2300507,Ceará,2013,Provenientes dos Estados,2758260.0,11171,47741.892
48,Alcântaras,2300507,Ceará,2013,Provenientes de Outros Municípios,0.0,11171,47741.892
49,Alcântaras,2300507,Ceará,2013,Outras Receitas do SUS,633.0,11171,47741.892
50,Alcântaras,2300507,Ceará,2013,TRANSFERÊNCIAS VOLUNTÁRIAS,68204.0,11171,47741.892
51,Alcântaras,2300507,Ceará,2013,RECEITA DE OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE,0.0,11171,47741.892
52,Alcântaras,2300507,Ceará,2013,OUTRAS RECEITAS PARA FINANCIAMENTO DA SAÚDE,0.0,11171,47741.892
53,Alcântaras,2300507,Ceará,2013,TOTAL RECEITAS ADICIONAIS PARA FINANCIAMENTO DA SAÚDE,4762950.0,11171,47741.892
54,Altaneira,2300606,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,1038150.0,7196,37584.825
55,Altaneira,2300606,Ceará,2013,Provenientes da União,986534.0,7196,37584.825
56,Altaneira,2300606,Ceará,2013,Provenientes dos Estados,49750.0,7196,37584.825
57,Altaneira,2300606,Ceará,2013,Provenientes de Outros Municípios,0.0,7196,37584.825
58,Altaneira,2300606,Ceará,2013,Outras Receitas do SUS,1868.0,7196,37584.825
59,Altaneira,2300606,Ceará,2013,TRANSFERÊNCIAS VOLUNTÁRIAS,0.0,7196,37584.825
60,Altaneira,2300606,Ceará,2013,RECEITA DE OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE,0.0,7196,37584.825
61,Altaneira,2300606,Ceará,2013,OUTRAS RECEITAS PARA FINANCIAMENTO DA SAÚDE,0.0,7196,37584.825
62,Altaneira,2300606,Ceará,2013,TOTAL RECEITAS ADICIONAIS PARA FINANCIAMENTO DA SAÚDE,1038150.0,7196,37584.825
63,Alto Santo,2300705,Ceará,2013,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,3133060.0,16767,105060.172
64,Alto Santo,2300705,Ceará,2013,Provenientes da União,3056640.0,16767,105060.172
65,Alto Santo,2300705,Ceará,2013,Provenientes dos Estados,57170.0,16767,105060.172
66,Alto Santo,2300705,Ceará,2013,Provenientes de Outros Municípios,0.0,16767,105060.172
